composer
Alfredo Catalani
Ernesto Nazareth
The Emotions
Augusta Mary Anne Holmès
Carla Bley
John Lewis
Lorenz Hart
Clifford Brown
Lee Morgan
Bart Howard
Clarence Williams
Jump Little Children
Queen (Freddie Mercury et al.)
Metallica (James Hetfield et al.)
Phil Collins
Bad Bunny (Benito Antonio Martínez Ocasio)
Blondie (Debbie Harry et al.)
Kendrick Lamar
Harold Melvin & the Blue Notes
Paramore (Hayley Williams et al.)
Patsy Cline
The Beatles (Lennon/McCartney etc.)
Bon Jovi
Vulfpeck
Sam and Dave (Sam Moore & Dave Prater)
Wilson Pickett
Neil Young
Green Day (Billie Joe Armstrong et al.)
The Beatles (Paul McCartney et al.)
Jimi Hendrix
Coldplay (Chris Martin et al.)
Dire Straits (Mark Knopfler et al.)
Muse (Matt Bellamy et al.)
Aqua (Lene Nystrøm et al.)
Radiohead (Thom Yorke et al.)
The Animals (Eric Burdon et al.)
MGMT (Andrew VanWyngarden et al.)
Sufjan Stevens
Kristen Anderson-Lopez
Katy Perry
Stephen Sondheim
Rolf Rudin
Dave Brubeck
Tui St. George Tucker
Andreas Makris
John Cage
Elisabeth Lutyens
Luigi Nono
Mark Gotham
Marie Jaëll
Bill Withers
Calvin Harris
Baude Cordier
John Dante Prevedini
Morton Feldman
Henrik Colding-Jørgensen
Julien Monette
Malcolm Goldstein
Maxwell Tfirn
Anon.
John Adams
Thomas Adès
Daniel Auber
Milton Babbitt
J. S. Bach
Edward Barnes
Ann Bartholomew
Hortense de Beauharnais
Vincenzo Bellini
Luciano Berio
Irving Berlin
Henry Bishop
John Black
James Bland
Luigi Boccherini
Dmytro Bortniansky
John Bull (attrib.)
Ferdinando Carulli
Theophania Cecil
Chen Yi
Richard Chope
Domenico Cimarosa
Muzio Clementi
George M. Cohan
Will Marion Cook
Ruth Crawford Seeger
Elizabeth Cuthbert
Nicolas Dalayrac
Rose Dale
Johann Friedrich Doles
John Dowland
Friedrich Filitz
Johann Caspar Fischer
Mauro Giuliani
Mikhail Glinka
Louis Moreau Gottschalk
Charles Gounod
Lucille Grétry
Fromental Halévy
G. F. Handel
W. C. Handy
Joseph Haydn (attrib.)
Mildred & Patty Hill
Johann Nepomuk Hummel (attrib.)
Artemis Johnson
Niccolò Jommelli
Isabella Leonarda
Ursula Mamlok
Lowell Mason
Jules Massenet
Étienne Méhul
Hélène de Montgeroult
Jean-Joseph Mouret
W. A. Mozart
Maria Teresa Pinottini
Luís Álvares Pinto
Barbara Ployer
Michael Praetorius
Sergey Prokofiev
Shulamit Ran
Kaija Saariaho
Ignatius Sancho
Jacob Sawyer
Alfred Schnittke
Corona Schröter
Alicia Scott
Lady Sempill
Hale Smith
Fernando Sor
Arthur Sullivan
Tan Dun
Lizzie Tourjée
Joan Tower
Wilhelmine von Troschke
Tom Turpin
Samuel Webbe
Ernst Wilhelm Wolf
Charles Wuorinen
Ellen Taaffe Zwilich
Clara Greenwood
Cecilia Burney
Mel Bonis
Frances L. Hummell
Brewster M. Higley
Sophia Maria Westenholz
Christian Petzold
Mathilde Heim‑Brem
Guy d’Hardelot
Amalia Hjelm
Johann Sebastian Bach (reduction)
Elizabeth Turner
Elizabeth Pym Cumberland
Julie Candeille
Elisabetta de Gambarini
Charlotte Amalie Sachsen‑Gotha‑Altenburg
Josephine Aurnhammer
Mrs. J. R. Abbott
Frances Arkwright
Maria Antonia Josepha Johanna
Harriet Abrams
Alice Ellen Charbonnet
Sidney Lambert
Maria Teresa Agnesi
Jeanne‑Renée de Bombelles Travanet
Mary Southcote
Harriet Waylett
Francesca Lebrun
Janina Jełowicka
Anne Boleyn
Hélène Montgeroult
Rosa Giacinta Badalla
Jane Mary Guest
Mathilde Marchesi
Johann Christian Bach
M. Müller (née Bender)
Amalie Wilhelmina Koch
Isabella Ketterer
Josepha Müllner‑Gollenhofer
Delphine Ugalde
Maria Agata Szymanowska
Alice Charbonnet
Grace Wassall
Calixa Lavallée
Ludwig van Beethoven (reduction)
Richard Strauss (piano reduction)
Theresia Demar
Dora Pejačević
Jeanne-Renée de Bombelles Travanet
Clémentine Padieu
Marie-Elizabeth Cléry
Charlotte Amalie Sachsen-Gotha-Altenburg
Bartolomeo Tromboncino
Anton Bruckner
Carl Phillip Emanuel Bach
Guillame Dufay
Johann Anastasius Freylinghausen
Josef Strauss
Johann Kuhnau
Giuseppi Verdi
Anonymous/Traditional English
Anonymous/Traditional
Anonymous/Traditional Korean
Anonymous/Traditional Welsh
Anonymous/Traditional Trinidadean
Anonymous/Traditional Balinese
Anonymous/Traditional Andean
Anonymous/Traditional American
Anonymous/Traditional Bulgarian
Anonymous/Traditional Scottish strathspey
Anonymous/Traditional Hymn
Anonymous/Traditional African-American
Anonymous/Traditional Scottish
Anonymous/Traditional Shaker Hymn
Anonymous/Gregorian Chant
Anonymous/Traditional West African
William a.k.a. will.i.am Adams
Eleanor Alberga
Billie Joe Armstrong
Claude Arrieu
Ramón Luis a.k.a. Daddy Yankee Ayala Rodríguez
Thomas Bangalter
John Bettis
Ritchie Blackmore
Harry T. Burleigh
Sylvano Bussotti
Shawn Carter
Maddalena Casulana
Christopher Paul Caswell
Edwin Pierce Christy
Miley Cyrus
Eugène Dédé
Lamont Dozier
Bob Dylan
Danny Elfman
Edward Kennedy Ellington
Erika Maria Ender Simoes
Stacy a.k.a. Fergie Ferguson
Toby Gad
Joe Garland
Stefani a.k.a. Lady Gaga Germanotta
Ian Gillan
Roger Glover
Jaime a.k.a. Taboo Gomez
Lukasz Gottwald
Sofia Gubaidulina
Pierre Guetta
"Oscar, II Hammerstein"
Gregory Hein
Edward Heyman
Brewster Higley
Brian Holland
Edward Holland
Ray Holman
Guy-Manuel de Homem-Christo
Elisabeth-Claude Jacquet de la Guerre
Knud Jeppesen
Elton John
Francis Johnson
J. Rosamond Johnson
James Weldon Johnson
Daniel Kelley
Carole King
Ed King
Mathilde Kralik
György Kurtág
Dorothy LaBostrie
Clint Lagerberg
Lucien Lambert
Libby Larsen
Orlando di Lasso
John Lennon
Jon Lind
Allan a.k.a. apl.de.ap Lindo
Hillary Lindsey
Leonard Lipton
LIU Wenjin
Jon Lord
Lou Shu-hua
Barry Mann
Max Martin
Marianna Martines
Kenneth Maue
Paul McCartney
Al McKay
Bonnie McKee
Freddie Mercury
Irving Mills
Mauro Nuñez
Fernando Obradors
Steven Lee Olsen
Ian Paice
Arvo Pärt
Richard Wayne Penniman
Anne Danican Philidor
Joel Phillips
Julie Pinel
Michael Pollack
Florence Price
Michael Ryan a.k.a. Mike Dirnt Pritchard
Trent Reznor
Frédéric Riesterer
Luis Alfonso a.k.a. Luis Fonsi Rodríguez López-Cepero
Orlando Rojas
Mark Ronson
Gary Rossington
Heinrich Schenker
Joseph Shabalala
Caroline Shaw
Bessie Smith
John Stephens
Erzsébet Szinyi
Germaine Tailleferre
Toru Takemitsu
Ronnie Taupin
John Tavener
"Jean ""Toots"" Thielemans"
Juan Tizol
Tye Tribbett
Ronnie Van Zant
Ralph Vaughan Williams
Henry Walter
Jim Weatherly
Cynthia Weil
Robert Stanley Weir
Maurice White
Paul Williams
Allee Willis
Meredith Willson
Frank Edwin a.k.a. Tré Cool Wright
La Monte Young
Victor Young
Johann Anton Andre
C.P.E. Bach
Leonard Bernstein
Joseph Bodin Boismortier
Anonymous/Byzantine Chant
Frederick Chopin
Guillaume Costeley
De Fesch
Al Dubin
Guillaume Dufay
Antonin Dvorak
Steven Foster
Denis Gaultier
George Friedrich Handel
Hans Leo Hassler
Johann David Heinichen
Johann Nepomuk Hummel
Josquin des Pres
Robert Lamm
Jean Marie Leclair
Jean-Baptiste Loeillet
Benedetto Marcello
Pietro Mascagni
Giacomo Meyerbeer
Niccolo Paganini
Maceo Pinkard
Giovanni Benedetto Platti
Johann Joachim Quantz
John Stanley
Thomas Luis Victoria
Harry Warren
Wipo of Burgundy
Adrian Willaert
Antonin Dvořák
Dmitri Borisovich Kabalevsky
Witold Lutosławski
Percy Montrose
Modest Petrovich Mussorgsky
Vaughan Williams
William Bolcom
Bono
John Corigliano
Hall Davis
Dorothy Fields
Gerry Goffin
Otto Harbach
Gerald Jackson
Jerry Leiber
Michael Masser
Alan Menken
John Newton
Elvis Presley
William Robinson
George F. Root
Lalo Schifrin
Erzsébet Szönyi
Tōru Takemitsu
Earle Brown
Max Freedman
Barry Gordy
Dennis Lambert
Mike Love
Vera Matson
Don McLean
James Myers
Dolly Parton
Brian Potter
Tim Rice
Vicki Sue Robinson
Mike Stoller
Tiësto
Ronald White
Brian Wilson
Johannes Crüger
J.C. Fischer
Ken Kynard
Kenneth Bernard Miller
Ebenezer Prout
Piotr Tchaikovsky
Kenneth Miller
William Backer
John R. Cash
Roger Cook
Roquel Davis
Claude François
Roger Greenaway
Robert Johnson
Tom Jones
Giovanni Legrenzi
Trevor Nunn
Carol Owens
J. Revaux
Johann C.H. Rinck
Harvey Schmidt
Jean Sibelius
Bedřich Smetana
Maria Wołowska Szymanowska
Johann Freylinghausen
Gioacchino Rossini
Peter Ilich Tchaikovsky
